date,disappearances,executions
1975-02-01,9,13
1975-03-01,12,13
1975-04-01,17,34
1975-05-01,16,57
1975-06-01,11,20
1975-07-01,29,15
1975-08-01,16,33
1975-09-01,48,22
1975-10-01,24,36
1975-11-01,48,45
1975-12-01,31,11
1976-01-01,111,88
1976-02-01,83,16
1976-03-01,78,39
1976-04-01,188,63
1976-05-01,231,57
1976-06-01,293,61
1976-07-01,312,58
1976-08-01,325,88
1976-09-01,337,57
1976-10-01,350,52
1976-11-01,326,51
1976-12-01,338,64
1977-01-01,289,65
1977-02-01,247,46
1977-03-01,256,34
1977-04-01,234,32
1977-05-01,263,39
1977-06-01,352,38
1977-07-01,226,16
1977-08-01,173,16
1977-09-01,196,19
1977-10-01,213,16
1977-11-01,108,19
1977-12-01,130,6
1978-01-01,167,10
1978-02-01,79,2
1978-03-01,77,0
1978-04-01,57,9
1978-05-01,51,6
1978-06-01,111,0
1978-07-01,59,7
1978-08-01,58,8
1978-09-01,43,1
1978-10-01,29,3
1978-11-01,50,2
1978-12-01,30,3
1979-01-01,31,7
1979-02-01,16,1
1979-03-01,3,0
1979-04-01,5,1
1979-05-01,8,2
1979-06-01,6,0
1979-07-01,13,0
1979-08-01,3,0
1979-09-01,16,1
1979-10-01,11,8
1979-11-01,19,1
1979-12-01,6,2
1980-01-01,3,0
1980-02-01,3,0
1980-03-01,13,0
1980-04-01,8,0
1980-05-01,1,0
1980-06-01,6,1
1980-07-01,12,4
1980-08-01,3,1
1980-09-01,11,3
1980-10-01,3,0
1980-11-01,1,0
1980-12-01,2,0
1981-01-01,1,1
1981-02-01,3,0
1981-03-01,2,0
1981-04-01,1,0
1981-05-01,0,1
1981-06-01,1,1
1981-07-01,0,1
1981-08-01,1,0
1981-09-01,1,0
1981-10-01,1,0
1981-11-01,3,0
1981-12-01,1,0
1982-01-01,3,0
1982-02-01,1,0
1982-03-01,0,1
1982-04-01,0,0
1982-05-01,0,0
1982-06-01,0,0
1982-07-01,0,1
1982-08-01,1,0
1982-09-01,0,0
1982-10-01,0,0
1982-11-01,0,0
1982-12-01,0,0
1983-01-01,1,2
1983-02-01,1,0
1983-03-01,0,0
1983-04-01,0,0
1983-05-01,3,1
1983-06-01,0,2
